category_variable,entry_rate,sex,FSM,Ethnic group
White Male FSM ,0.0893,M,1,White
White Female FSM ,0.132,F,1,White
Mixed Male FSM ,0.14,M,1,Mixed
Mixed Female FSM ,0.209,F,1,Mixed
Asian Male FSM ,0.219,M,1,Asian
Black Male FSM ,0.222,M,1,Black
White Male non-FSM ,0.239,M,0,White
Other Male FSM ,0.259,M,1,Other
Mixed Male non-FSM ,0.276,M,0,Mixed
Black Male non-FSM ,0.298,M,0,Black
Other Male non-FSM ,0.299,M,0,Other
Black Female FSM ,0.314,F,1,Black
Asian Female FSM ,0.322,F,1,Asian
White Female non-FSM ,0.326,F,0,White
Asian Male non-FSM ,0.33,M,0,Asian
Other Female FSM ,0.331,F,1,Other
Mixed Female non-FSM ,0.363,F,0,Mixed
Other Female non-FSM ,0.381,F,0,Other
Black Female non-FSM ,0.422,F,0,Black
Asian Female non-FSM ,0.438,F,0,Asian
