Academic Year,Mode of study,Sex,Country of HE provider,Classification_of_First_Degree,Number,Percentage,,,,,,,,
2017/18,All,Female,All,First,64415,0.28,,,,,,,,
2017/18,All,Female,All,Upper second,114190,0.50,,,,,,,,
2017/18,All,Female,All,Lower second,40350,0.18,,,,,,,,
2017/18,All,Female,All,Third/Pass,8885,0.04,,,,,,,,
2017/18,All,Male,All,First,46000,0.27,,,,,,,,
2017/18,All,Male,All,Upper second,78150,0.46,,,,,,,,
2017/18,All,Male,All,Lower second,35835,0.21,,,,,,,,
2017/18,All,Male,All,Third/Pass,8940,0.05,,,,,,,,
2017/18,All,Other,All,First,60,0.34,,,,,,,,
2017/18,All,Other,All,Upper second,85,0.48,,,,,,,,
2017/18,All,Other,All,Lower second,25,0.15,,,,,,,,
2017/18,All,Other,All,Third/Pass,5,0.03,,,,,,,,
