Entity,Code,Year,Income classifications (World Bank (2017)),primary_key
Afghanistan,AFG,1987,Low income,AFG_1987
Afghanistan,AFG,1988,Low income,AFG_1988
Afghanistan,AFG,1989,Low income,AFG_1989
Afghanistan,AFG,1990,Low income,AFG_1990
Afghanistan,AFG,1991,Low income,AFG_1991
Afghanistan,AFG,1992,Low income,AFG_1992
Afghanistan,AFG,1993,Low income,AFG_1993
Afghanistan,AFG,1994,Low income,AFG_1994
Afghanistan,AFG,1995,Low income,AFG_1995
Afghanistan,AFG,1996,Low income,AFG_1996
Afghanistan,AFG,1997,Low income,AFG_1997
Afghanistan,AFG,1998,Low income,AFG_1998
Afghanistan,AFG,1999,Low income,AFG_1999
Afghanistan,AFG,2000,Low income,AFG_2000
Afghanistan,AFG,2001,Low income,AFG_2001
Afghanistan,AFG,2002,Low income,AFG_2002
Afghanistan,AFG,2003,Low income,AFG_2003
Afghanistan,AFG,2004,Low income,AFG_2004
Afghanistan,AFG,2005,Low income,AFG_2005
Afghanistan,AFG,2006,Low income,AFG_2006
Afghanistan,AFG,2007,Low income,AFG_2007
Afghanistan,AFG,2008,Low income,AFG_2008
Afghanistan,AFG,2009,Low income,AFG_2009
Afghanistan,AFG,2010,Low income,AFG_2010
Afghanistan,AFG,2011,Low income,AFG_2011
Afghanistan,AFG,2012,Low income,AFG_2012
Afghanistan,AFG,2013,Low income,AFG_2013
Afghanistan,AFG,2014,Low income,AFG_2014
Afghanistan,AFG,2015,Low income,AFG_2015
Afghanistan,AFG,2016,Low income,AFG_2016
Albania,ALB,1987,Not categorized,ALB_1987
Albania,ALB,1988,Not categorized,ALB_1988
Albania,ALB,1989,Not categorized,ALB_1989
Albania,ALB,1990,Lower-middle income,ALB_1990
Albania,ALB,1991,Lower-middle income,ALB_1991
Albania,ALB,1992,Lower-middle income,ALB_1992
Albania,ALB,1993,Low income,ALB_1993
Albania,ALB,1994,Low income,ALB_1994
Albania,ALB,1995,Low income,ALB_1995
Albania,ALB,1996,Lower-middle income,ALB_1996
Albania,ALB,1997,Low income,ALB_1997
Albania,ALB,1998,Lower-middle income,ALB_1998
Albania,ALB,1999,Lower-middle income,ALB_1999
Albania,ALB,2000,Lower-middle income,ALB_2000
Albania,ALB,2001,Lower-middle income,ALB_2001
Albania,ALB,2002,Lower-middle income,ALB_2002
Albania,ALB,2003,Lower-middle income,ALB_2003
